,target
210,0.011441647597254004
211,0.010416666666666666
212,0.012345679012345678
213,0.006355932203389831
214,0.009067357512953367
215,0.008928571428571428
216,0.009458297506448839
217,0.0136986301369863
218,0.009900990099009901
219,0.007692307692307693
220,0.012578616352201259
221,0.012345679012345678
222,0.009900990099009901
223,0.008748906386701663
224,0.004395604395604396
225,0.013262599469496022
226,0.004395604395604396
227,0.004415011037527594
228,0.013262599469496022
229,0.004123711340206186
230,0.004415011037527594
231,0.009900990099009901
232,0.007705479452054794
233,0.007620660457239628
234,0.006355932203389831
235,0.009067357512953367
236,0.0136986301369863
237,0.009067357512953367
238,0.008748906386701663
239,0.013853904282115869
240,0.0136986301369863
241,0.013853904282115869
242,0.007009345794392523
243,0.013262599469496022
244,0.004415011037527594
245,0.006355932203389831
246,0.011764705882352941
247,0.012578616352201259
248,0.00909090909090909
249,0.008928571428571428
250,0.011764705882352941
251,0.010906040268456376
252,0.008939974457215836
253,0.00909090909090909
254,0.011441647597254004
255,0.010416666666666666
256,0.011764705882352941
257,0.006355932203389831
258,0.010738255033557046
259,0.008748906386701663
260,0.004761904761904762
261,0.009458297506448839
262,0.008424599831508003
263,0.011764705882352941
264,0.009067357512953367
265,0.004291845493562232
266,0.004761904761904762
267,0.010139416983523447
268,0.0075
269,0.010906040268456376
270,0.011764705882352941
271,0.012345679012345678
272,0.007620660457239628
273,0.007929515418502203
274,0.009497964721845319
275,0.007705479452054794
276,0.011764705882352941
277,0.012345679012345678
278,0.011441647597254004
279,0.009836065573770493
280,0.010416666666666666
281,0.004291845493562232
282,0.008928571428571428
283,0.009497964721845319
284,0.006355932203389831
285,0.012578616352201259
286,0.007009345794392523
287,0.004395604395604396
288,0.008424599831508003
289,0.00909090909090909
290,0.004415011037527594
291,0.0075
292,0.007705479452054794
293,0.008928571428571428
294,0.008928571428571428
295,0.004123711340206186
296,0.009458297506448839
297,0.0136986301369863
298,0.011764705882352941
299,0.007692307692307693
300,0.009067357512953367
301,0.012165450121654502
302,0.006355932203389831
303,0.008748906386701663
304,0.011441647597254004
305,0.004395604395604396
306,0.007929515418502203
307,0.010824313072439634
308,0.004123711340206186
309,0.007929515418502203
310,0.008939974457215836
311,0.008928571428571428
312,0.007692307692307693
313,0.008748906386701663
314,0.007620660457239628
315,0.008424599831508003
316,0.0075
317,0.007620660457239628
318,0.013853904282115869
319,0.013853904282115869
320,0.007705479452054794
321,0.007620660457239628
322,0.008728179551122194
323,0.009900990099009901
324,0.007620660457239628
325,0.00909090909090909
326,0.004395604395604396
327,0.008728179551122194
328,0.004395604395604396
329,0.011764705882352941
330,0.011441647597254004
331,0.008424599831508003
332,0.007705479452054794
333,0.010416666666666666
334,0.007929515418502203
335,0.013853904282115869
336,0.007692307692307693
337,0.010738255033557046
338,0.012578616352201259
339,0.009497964721845319
340,0.007692307692307693
341,0.010416666666666666
342,0.011441647597254004
343,0.011764705882352941
344,0.007692307692307693
345,0.012165450121654502
346,0.007705479452054794
347,0.012578616352201259
348,0.008928571428571428
349,0.012165450121654502
350,0.0136986301369863
351,0.00909090909090909
352,0.00909090909090909
353,0.008748906386701663
354,0.008928571428571428
355,0.010416666666666666
356,0.007705479452054794
357,0.010738255033557046
358,0.013853904282115869
359,0.004415011037527594
360,0.010139416983523447
361,0.011764705882352941
362,0.004415011037527594
363,0.007705479452054794
364,0.0075
365,0.007009345794392523
366,0.013262599469496022
367,0.004395604395604396
368,0.010738255033557046
369,0.009900990099009901
370,0.0075
371,0.007620660457239628
372,0.008728179551122194
373,0.006355932203389831
374,0.0075
375,0.006355932203389831
376,0.012345679012345678
377,0.012578616352201259
378,0.008928571428571428
379,0.007705479452054794
380,0.012165450121654502
381,0.012345679012345678
382,0.009458297506448839
383,0.012578616352201259
384,0.011764705882352941
385,0.004761904761904762
386,0.008939974457215836
387,0.012165450121654502
388,0.012165450121654502
389,0.007009345794392523
390,0.010139416983523447
391,0.008748906386701663
392,0.004291845493562232
393,0.006355932203389831
394,0.011441647597254004
395,0.008728179551122194
396,0.007009345794392523
397,0.012345679012345678
398,0.010738255033557046
399,0.008928571428571428
400,0.008928571428571428
401,0.007705479452054794
402,0.009836065573770493
403,0.004123711340206186
404,0.010139416983523447
405,0.009900990099009901
406,0.007929515418502203
407,0.007009345794392523
408,0.012345679012345678
409,0.008928571428571428
410,0.010139416983523447
411,0.004395604395604396
412,0.007009345794392523
413,0.0075
414,0.007620660457239628
415,0.009497964721845319
416,0.010824313072439634
417,0.008424599831508003
418,0.012578616352201259
419,0.011441647597254004
420,0.008748906386701663
421,0.012345679012345678
422,0.009067357512953367
423,0.007692307692307693
424,0.009900990099009901
425,0.007929515418502203
426,0.009497964721845319
427,0.012578616352201259
428,0.008748906386701663
